Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	2	1	0
2	0.002	2	1	0
3	0.003	2	1	0
4	0.004	2	1	0
5	0.005	2	1	0
6	0.006	2	1	0
7	0.007	2	1	0
8	0.009	2	1	0
9	0.01	2	1	0
10	0.011	2	1	0
11	0.012	2	1	0
12	0.013	2	1	0
13	0.014	2	1	0
14	0.015	2	1	0
15	0.016	2	1	0
16	0.018	2	1	0
17	0.019	2	1	0
18	0.02	2	1	0
19	0.021	2	1	0
20	0.022	2	1	0
21	0.023	2	1	0
22	0.024	2	1	0
23	0.025	2	1	0
24	0.027	2	1	0
25	0.028	2	1	0
26	0.029	2	1	0
27	0.03	2	1	0
28	0.031	2	1	0
29	0.032	2	1	0
30	0.033	2	1	0
31	0.034	2	1	0
32	0.036	2	1	0
33	0.037	2	1	0
34	0.038	2	1	0
35	0.039	2	1	0
36	0.04	2	1	0
37	0.041	2	1	0
38	0.042	2	1	0
39	0.043	2	1	0
40	0.045	2	1	0
41	0.046	2	1	0
42	0.047	2	1	0
43	0.048	2	1	0
44	0.049	2	1	0
45	0.05	2	1	0
46	0.051	2	1	0
47	0.052	2	1	0
48	0.054	2	1	0
49	0.055	2	1	0
50	0.056	2	1	0
51	0.057	2	1	0
52	0.058	2	1	0
53	0.059	2	1	0
54	0.06	2	1	0
55	0.061	2	1	0
56	0.063	2	1	0
57	0.064	2	1	0
58	0.065	2	1	0
59	0.066	2	1	0
60	0.067	2	1	0
61	0.068	2	1	0
62	0.069	2	1	0
63	0.07	2	1	0
64	0.072	2	1	0
65	0.073	2	1	0
66	0.074	2	1	0
67	0.075	2	1	0
68	0.076	2	1	0
69	0.077	2	1	0
70	0.078	2	1	0
71	0.08	2	1	0
72	0.081	2	1	0
73	0.082	2	1	0
74	0.083	2	1	0
75	0.084	2	1	0
76	0.085	2	1	0
77	0.086	2	1	0
78	0.087	2	1	0
79	0.089	2	1	0
80	0.09	2	1	0
81	0.091	2	1	0
82	0.092	2	1	0
83	0.093	2	1	0
84	0.094	2	1	0
85	0.095	2	1	0
86	0.096	2	1	0
87	0.098	2	1	0
88	0.099	2	1	0
89	0.1	2	1	0
90	0.101	2	1	0
91	0.102	2	1	0
92	0.103	2	1	0
93	0.104	2	1	0
94	0.105	2	1	0
95	0.107	2	1	0
96	0.108	2	1	0
97	0.109	2	1	0
98	0.11	2	1	0
99	0.111	2	1	0
100	0.112	2	1	0
101	0.113	2	1	0
102	0.114	2	1	0
103	0.116	2	1	0
104	0.117	2	1	0
105	0.118	2	1	0
106	0.119	2	1	0
107	0.12	2	1	0
108	0.121	2	1	0
109	0.122	2	1	0
110	0.123	2	1	0
111	0.125	2	1	0
112	0.126	2	1	0
113	0.127	2	1	0
114	0.128	2	1	0
115	0.129	2	1	0
116	0.13	2	1	0
117	0.131	2	1	0
118	0.132	2	1	0
119	0.134	2	1	0
120	0.135	2	1	0
121	0.136	2	1	0
122	0.137	2	1	0
123	0.138	2	1	0
124	0.139	2	1	0
125	0.14	2	1	0
126	0.141	2	1	0
127	0.143	2	1	0
128	0.144	2	1	0
129	0.145	2	1	0
130	0.146	2	1	0
131	0.147	2	1	0
132	0.148	2	1	0
133	0.149	2	1	0
134	0.15	2	1	0
135	0.152	2	1	0
136	0.153	2	1	0
137	0.154	2	1	0
138	0.155	2	1	0
139	0.156	2	1	0
140	0.157	2	1	0
141	0.158	2	1	0
142	0.16	2	1	0
143	0.161	2	1	0
144	0.162	2	1	0
145	0.163	2	1	0
146	0.164	2	1	0
147	0.165	2	1	0
148	0.166	2	1	0
149	0.167	2	1	0
150	0.169	2	1	0
151	0.17	2	1	0
152	0.171	2	1	0
153	0.172	2	1	0
154	0.173	2	1	0
155	0.174	2	1	0
156	0.175	2	1	0
157	0.176	2	1	0
158	0.178	2	1	0
159	0.179	2	1	0
160	0.18	2	1	0
161	0.181	2	1	0
162	0.182	2	1	0
163	0.183	2	1	0
164	0.184	2	1	0
165	0.185	2	1	0
166	0.187	2	1	0
167	0.188	2	1	0
168	0.189	2	1	0
169	0.19	2	1	0
170	0.191	2	1	0
171	0.192	2	1	0
172	0.193	2	1	0
173	0.194	2	1	0
174	0.196	2	1	0
175	0.197	2	1	0
176	0.198	2	1	0
177	0.199	2	1	0
178	0.2	2	1	0
179	0.201	2	1	0
180	0.202	2	1	0
181	0.203	2	1	0
182	0.205	2	1	0
183	0.206	2	1	0
184	0.207	2	1	0
185	0.208	2	1	0
186	0.209	2	1	0
187	0.21	2	1	0
188	0.211	2	1	0
189	0.212	2	1	0
190	0.214	2	1	0
191	0.215	2	1	0
192	0.216	2	1	0
193	0.217	2	1	0
194	0.218	2	1	0
195	0.219	2	1	0
196	0.22	2	1	0
197	0.221	2	1	0
198	0.223	2	1	0
199	0.224	2	1	0
200	0.225	2	1	0
201	0.226	2	1	0
202	0.227	2	1	0
203	0.228	2	1	0
204	0.229	2	1	0
205	0.231	2	1	0
206	0.232	2	1	0
207	0.233	2	1	0
208	0.234	2	1	0
209	0.235	2	1	0
210	0.236	2	1	0
211	0.237	2	1	0
212	0.238	2	1	0
213	0.24	2	1	0
214	0.241	2	1	0
215	0.242	2	1	0
216	0.243	2	1	0
217	0.244	2	1	0
218	0.245	2	1	0
219	0.246	2	1	0
220	0.247	2	1	0
221	0.249	2	1	0
222	0.25	2	1	0
223	0.251	2	1	0
224	0.252	2	1	0
225	0.253	2	1	0
226	0.254	2	1	0
227	0.255	2	1	0
228	0.256	2	1	0
229	0.258	2	1	0
230	0.259	2	1	0
231	0.26	2	1	0
232	0.261	2	1	0
233	0.262	2	1	0
234	0.263	2	1	0
235	0.264	2	1	0
236	0.265	2	1	0
237	0.267	2	1	0
238	0.268	2	1	0
239	0.269	2	1	0
240	0.27	2	1	0
241	0.271	2	1	0
242	0.272	2	1	0
243	0.273	2	1	0
244	0.274	2	1	0
245	0.276	2	1	0
246	0.277	2	1	0
247	0.278	2	1	0
248	0.279	2	1	0
249	0.28	2	1	0
250	0.281	2	1	0
251	0.282	2	1	0
252	0.283	2	1	0
253	0.285	2	1	0
254	0.286	2	1	0
255	0.287	2	1	0
256	0.288	2	1	0
257	0.289	2	1	0
258	0.29	2	1	0
259	0.291	2	1	0
260	0.292	2	1	0
261	0.294	2	1	0
262	0.295	2	1	0
263	0.296	2	1	0
264	0.297	2	1	0
265	0.298	2	1	0
266	0.299	2	1	0
267	0.3	2	1	0
268	0.301	2	1	0
269	0.303	2	1	0
270	0.304	2	1	0
271	0.305	2	1	0
272	0.306	2	1	0
273	0.307	2	1	0
274	0.308	2	1	0
275	0.309	2	1	0
276	0.311	2	1	0
277	0.312	2	1	0
278	0.313	2	1	0
279	0.314	2	1	0
280	0.315	2	1	0
281	0.316	2	1	0
282	0.317	2	1	0
283	0.318	2	1	0
284	0.32	2	1	0
285	0.321	2	1	0
286	0.322	2	1	0
287	0.323	2	1	0
288	0.324	2	1	0
289	0.325	2	1	0
290	0.326	2	1	0
291	0.327	2	1	0
292	0.329	2	1	0
293	0.33	2	1	0
294	0.331	2	1	0
295	0.332	2	1	0
296	0.333	2	1	0
297	0.334	2	1	0
298	0.335	2	1	0
299	0.336	2	1	0
300	0.338	2	1	0
301	0.339	2	1	0
302	0.34	2	1	0
303	0.341	2	1	0
304	0.342	2	1	0
305	0.343	2	1	0
306	0.344	2	1	0
307	0.345	2	1	0
308	0.347	2	1	0
309	0.348	2	1	0
310	0.349	2	1	0
311	0.35	2	1	0
312	0.351	2	1	0
313	0.352	2	1	0
314	0.353	2	1	0
315	0.354	2	1	0
316	0.356	2	1	0
317	0.357	2	1	0
318	0.358	2	1	0
319	0.359	2	1	0
320	0.36	2	1	0
321	0.361	2	1	0
322	0.362	2	1	0
323	0.363	2	1	0
324	0.365	2	1	0
325	0.366	2	1	0
326	0.367	2	1	0
327	0.368	2	1	0
328	0.369	2	1	0
329	0.37	2	1	0
330	0.371	2	1	0
331	0.372	2	1	0
332	0.374	2	1	0
333	0.375	2	1	0
334	0.376	2	1	0
335	0.377	2	1	0
336	0.378	2	1	0
337	0.379	2	1	0
338	0.38	2	1	0
339	0.381	2	1	0
340	0.383	2	1	0
341	0.384	2	1	0
342	0.385	2	1	0
343	0.386	2	1	0
344	0.387	2	1	0
345	0.388	2	1	0
346	0.389	2	1	0
347	0.391	2	1	0
348	0.392	2	1	0
349	0.393	2	1	0
350	0.394	2	1	0
351	0.395	2	1	0
352	0.396	2	1	0
353	0.397	2	1	0
354	0.398	2	1	0
355	0.4	2	1	0
356	0.401	2	1	0
357	0.402	2	1	0
358	0.403	2	1	0
359	0.404	2	1	0
360	0.405	2	1	0
361	0.406	2	1	0
362	0.407	2	1	0
363	0.409	2	1	0
364	0.41	2	1	0
365	0.411	2	1	0
